"scenario","method","Mean_Est","True_Psi","Bias","SD","RMSE","NA_count"
"S1","adj",0.2151,0.1368,0.0783,0.2255,0.2365,0
"S1","gcomp_param",0.2151,0.1368,0.0783,0.2255,0.2365,0
"S1","gcomp_SL",0.119,0.1368,-0.0178,0.1265,0.1265,0
"S1","ipw_param",0.2809,0.1368,0.1441,0.2723,0.3056,0
"S1","ipw_SL",0.2755,0.1368,0.1387,0.2192,0.2575,0
"S1","tmle_bin_param",0.2684,0.1368,0.1317,0.3727,0.3917,0
"S1","tmle_bin_SL",0.2545,0.1368,0.1177,0.2752,0.2964,7
"S1","tmle_cont_param",0.1417,0.1368,0.0049,0.2701,0.2674,0
"S1","tmle_cont_SL",0.3242,0.1368,0.1874,0.3604,0.403,0
"S2","adj",0.1722,0.1368,0.0354,0.2642,0.2639,0
"S2","gcomp_param",0.1822,0.1368,0.0454,0.1845,0.1882,0
"S2","gcomp_SL",0.1306,0.1368,-0.0061,0.1311,0.1299,0
"S2","ipw_param",0.2924,0.1368,0.1556,0.2575,0.2987,0
"S2","ipw_SL",0.3307,0.1368,0.1939,0.1886,0.2692,0
"S2","tmle_bin_param",0.4682,0.1368,0.3315,0.4475,0.5533,0
"S2","tmle_bin_SL",0.311,0.1368,0.1742,0.3602,0.396,11
"S2","tmle_cont_param",0.1517,0.1368,0.0149,0.3311,0.3281,0
"S2","tmle_cont_SL",0.3388,0.1368,0.202,0.4114,0.4546,0
"S3","adj",0.2308,0.1368,0.094,0.2097,0.2279,0
"S3","gcomp_param",0.2308,0.1368,0.094,0.2097,0.2279,0
"S3","gcomp_SL",0.1136,0.1368,-0.0231,0.0903,0.0923,0
"S3","ipw_param",0.2944,0.1368,0.1576,0.2396,0.2848,0
"S3","ipw_SL",0.1198,0.1368,-0.017,0.5834,0.5778,0
"S3","tmle_bin_param",0.3117,0.1368,0.175,0.3188,0.3609,0
"S3","tmle_bin_SL",0.1993,0.1368,0.0625,0.2341,0.2396,8
"S3","tmle_cont_param",0.2258,0.1368,0.089,0.2313,0.2457,0
"S3","tmle_cont_SL",0.2195,0.1368,0.0827,0.2119,0.2255,0
"S4","adj",0.2696,0.1368,0.1328,0.225,0.2593,0
"S4","gcomp_param",0.2412,0.1368,0.1044,0.1843,0.2103,0
"S4","gcomp_SL",0.1729,0.1368,0.0361,0.1431,0.1462,0
"S4","ipw_param",0.287,0.1368,0.1502,0.267,0.304,0
"S4","ipw_SL",-0.0494,0.1368,-0.1862,0.6191,0.6405,0
"S4","tmle_bin_param",0.475,0.1368,0.3382,0.4552,0.5634,0
"S4","tmle_bin_SL",0.3453,0.1368,0.2086,0.2759,0.3432,9
"S4","tmle_cont_param",0.2327,0.1368,0.0959,0.1911,0.2121,0
"S4","tmle_cont_SL",0.2365,0.1368,0.0997,0.2011,0.2227,0
