scenario,method,Mean_Est,True_Psi,Bias,SD,RMSE,NA_count
S1,adj,0.2952,0.1461,0.1491,0.0274,0.1516,0
S1,gcomp_param,0.2931,0.1461,0.147,0.0274,0.1496,0
S1,gcomp_SL,0.1945,0.1461,0.0484,0.0247,0.0544,0
S1,ipw_param,0.2284,0.1461,0.0823,0.0486,0.0955,0
S1,ipw_SL,0.2568,0.1461,0.1107,0.0539,0.1231,0
S1,tmle_bin_param,0.1567,0.1461,0.0105,0.0273,0.0293,0
S1,tmle_bin_SL,0.1692,0.1461,0.0231,0.0328,0.0401,0
S1,tmle_cont_param,0.1477,0.1461,0.0016,0.0324,0.0324,0
S1,tmle_cont_SL,0.1759,0.1461,0.0298,0.033,0.0444,0
S2,adj,0.2952,0.1461,0.1491,0.0274,0.1516,0
S2,gcomp_param,0.3065,0.1461,0.1604,0.0215,0.1619,0
S2,gcomp_SL,0.2555,0.1461,0.1094,0.0188,0.111,0
S2,ipw_param,0.2271,0.1461,0.081,0.0468,0.0936,0
S2,ipw_SL,0.2544,0.1461,0.1083,0.0542,0.1211,0
S2,tmle_bin_param,0.1508,0.1461,0.0047,0.0335,0.0338,0
S2,tmle_bin_SL,0.1526,0.1461,0.0065,0.0372,0.0378,0
S2,tmle_cont_param,0.1523,0.1461,0.0062,0.0338,0.0343,0
S2,tmle_cont_SL,0.1802,0.1461,0.0341,0.045,0.0564,0
S3,adj,0.2953,0.1461,0.1492,0.0269,0.1516,0
S3,gcomp_param,0.2933,0.1461,0.1472,0.0268,0.1496,0
S3,gcomp_SL,0.1949,0.1461,0.0488,0.0236,0.0542,0
S3,ipw_param,0.3255,0.1461,0.1794,0.0263,0.1813,0
S3,ipw_SL,0.3183,0.1461,0.1722,0.0324,0.1752,0
S3,tmle_bin_param,0.1602,0.1461,0.0141,0.0206,0.025,0
S3,tmle_bin_SL,0.1611,0.1461,0.015,0.0206,0.0255,0
S3,tmle_cont_param,0.2804,0.1461,0.1343,0.0252,0.1366,0
S3,tmle_cont_SL,0.2132,0.1461,0.0671,0.0238,0.0712,0
S4,adj,0.2953,0.1461,0.1492,0.0269,0.1516,0
S4,gcomp_param,0.3067,0.1461,0.1606,0.0215,0.162,0
S4,gcomp_SL,0.2563,0.1461,0.1102,0.0187,0.1118,0
S4,ipw_param,0.3254,0.1461,0.1793,0.0252,0.1811,0
S4,ipw_SL,0.3184,0.1461,0.1722,0.0309,0.175,0
S4,tmle_bin_param,0.2872,0.1461,0.1411,0.0203,0.1425,0
S4,tmle_bin_SL,0.2863,0.1461,0.1402,0.0202,0.1416,0
S4,tmle_cont_param,0.2904,0.1461,0.1443,0.0213,0.1459,0
S4,tmle_cont_SL,0.2889,0.1461,0.1428,0.0212,0.1443,0
